id;spkid;full_name;pdes;name;prefix;neo;pha;H;diameter;albedo;diameter_sigma;orbit_id;epoch;epoch_mjd;epoch_cal;equinox;e;a;q;i;om;w;ma;ad;n;tp;tp_cal;per;per_y;moid;moid_ld;sigma_e;sigma_a;sigma_q;sigma_i;sigma_om;sigma_w;sigma_ma;sigma_ad;sigma_n;sigma_tp;sigma_per;class;rms
a0000314;2000314;   314 Rosalia;314;Rosalia;;N;N;9.9;60.689;0.043;0.284;JPL 47;2459000.5;59000;20200531;J2000;0.171230042;3.157251212;2.616634954;12.51555947;169.977371;191.4203973;1.511653786;3.69786747;0.175687299;2458991.896;20200522.4;2049.095195;5.610116892;1.6145;628.314965;4.1052E-08;1.2584E-08;1.3105E-07;4.4744E-06;0.000017845;0.000020961;0.000012366;1.4738E-08;1.0503E-09;0.00007037;0.00001225;MBA;0.47288
a0000315;2000315;   315 Constantia;315;Constantia;;N;N;12.5;6.534;0.217;0.068;JPL 38;2459000.5;59000;20200531;J2000;0.168118417;2.241672118;1.864805749;2.428663128;161.6275769;172.9081397;137.7567151;2.618538486;0.293660774;2458531.398;20190216.9;1225.904282;3.356343003;0.854865;332.6878121;3.2673E-08;5.4975E-09;7.3241E-08;3.6743E-06;0.000083637;0.000084314;0.000012246;6.4217E-09;1.0803E-09;0.000040892;4.5096E-06;MBA;0.43115
a0000316;2000316;   316 Goberta;316;Goberta;;N;N;10.1;56.067;0.061;0.642;JPL 50;2459000.5;59000;20200531;J2000;0.13243449;3.188007084;2.765804993;2.341585258;123.8213637;315.5224104;198.3458272;3.610209176;0.173151061;2459934.102;20221220.6;2079.109408;5.692291329;1.78208;693.5320736;3.1738E-08;1.1906E-08;9.8859E-08;3.4171E-06;0.000097847;0.000098952;0.000015077;1.3482E-08;9.6995E-10;0.000089148;0.000011647;MBA;0.43049
a0000317;2000317;   317 Roxane;317;Roxane;;N;N;9.8;18.648;0.926;0.162;JPL 41;2459000.5;59000;20200531;J2000;0.08503196;2.286630251;2.092193599;1.765722712;151.3479524;186.8883055;78.45916043;2.481066903;0.285042853;2458725.246;20190829.75;1262.967991;3.457817909;1.08284;421.4088428;3.5966E-08;4.221E-09;8.2024E-08;3.8856E-06;0.00012422;0.00012626;0.0000225;4.5799E-09;7.8926E-10;0.000078878;0.000003497;MBA;0.45314
a0000318;2000318;   318 Magdalena;318;Magdalena;;N;N;9.4;85;0.054;;JPL 37;2459000.5;59000;20200531;J2000;0.084592729;3.194999425;2.924725705;10.65569407;161.4884223;296.0955891;40.82340614;3.465273145;0.172582954;2458763.956;20191007.46;2085.953406;5.711029175;1.96103;763.1740451;3.3055E-08;1.2129E-08;1.0705E-07;4.0051E-06;0.000019262;0.000030335;0.000022649;1.3155E-08;9.8273E-10;0.00013122;0.000011878;MBA;0.42368
a0000319;2000319;   319 Leona;319;Leona;;N;N;10.2;49.943;0.085;0.477;JPL 45;2459000.5;59000;20200531;J2000;0.216542327;3.403962289;2.666860373;10.56291637;184.9363629;228.096048;178.6115093;4.141064204;0.156937584;2457862.395;20170418.89;2293.905575;6.280371185;1.69116;658.1487372;3.3459E-08;1.2519E-08;1.1199E-07;3.6134E-06;0.000018731;0.000019879;8.3632E-06;1.523E-08;8.6578E-10;0.000050145;0.000012655;OMB;0.4472
a0000320;2000320;   320 Katharina;320;Katharina;;N;N;10.8;23.362;0.155;0.465;JPL 37;2459000.5;59000;20200531;J2000;0.117245366;3.009608345;2.656745712;9.379640492;219.918063;149.6351289;220.3368863;3.362470978;0.188772662;2459740.348;20220609.85;1907.055799;5.221234221;1.66213;646.8511321;3.5519E-08;1.2136E-08;1.0899E-07;3.9493E-06;0.00002176;0.00002649;0.000016475;1.3559E-08;1.1418E-09;0.000089576;0.000011535;MBA;0.44768
a0000321;2000321;   321 Florentina;321;Florentina;;N;N;10.1;27.974;0.425;0.103;JPL 40;2459000.5;59000;20200531;J2000;0.046792445;2.885722257;2.750692257;2.586854696;40.21613348;35.95306488;43.92163343;3.020752256;0.201058427;2458782.048;20191025.55;1790.524304;4.902188376;1.76623;687.3637291;3.5353E-08;1.0701E-08;1.0329E-07;4.1431E-06;0.000091034;0.00010303;0.000047231;1.1202E-08;1.1183E-09;0.00023496;9.9594E-06;MBA;0.43185
a0000322;2000322;   322 Phaeo;322;Phaeo;;N;N;9.1;69.855;0.089;0.32;JPL 43;2459000.5;59000;20200531;J2000;0.245653221;2.783240406;2.099528435;8.05171275;252.3675108;114.7307532;280.8036282;3.466952377;0.212264806;2459373.602;20210608.1;1695.994767;4.643380607;1.11417;433.6015389;3.7384E-08;6.5513E-09;1.0461E-07;3.9812E-06;0.000030881;0.000031785;8.5285E-06;8.1606E-09;7.4946E-10;0.000040841;5.9881E-06;MBA;0.43796
a0000323;2000323;   323 Brucia;323;Brucia;;N;N;9.5;27.714;0.295;0.3;JPL 35;2459000.5;59000;20200531;J2000;0.298989405;2.382533916;1.670181519;24.25498322;97.31427152;291.5299985;14.27607041;3.094886312;0.268006568;2458947.232;20200407.73;1343.250665;3.67761989;0.808806;314.763031;4.2242E-08;7.6339E-09;1.0047E-07;4.8396E-06;0.000011737;0.000013886;0.000011075;9.9164E-09;1.2881E-09;0.000041177;6.4559E-06;MBA;0.41221
